ENTRY_AC	ENTRY_TYPE	ENTRY_NAME
IPR000126	active_site	Serine proteases, V8 family, serine active site
IPR000138	active_site	Hydroxymethylglutaryl-CoA lyase, active site
IPR000169	active_site	Cysteine peptidase, cysteine active site
IPR000180	active_site	Membrane dipeptidase, active site
IPR000189	active_site	Prokaryotic transglycosylase, active site
IPR000590	active_site	Hydroxymethylglutaryl-coenzyme A synthase, active site
IPR001252	active_site	Malate dehydrogenase, active site
IPR001345	active_site	Phosphoglycerate/bisphosphoglycerate mutase, active site
IPR001497	active_site	Methylated-DNA-[protein]-cysteine S-methyltransferase, active site
IPR001555	active_site	Phosphoribosylglycinamide formyltransferase, active site
IPR001579	active_site	Glycosyl hydrolases family 18 (GH18) active site
IPR001586	active_site	Beta-lactamase, class-C active site
IPR001969	active_site	Aspartic peptidase, active site
IPR002071	active_site	Thermonuclease active site
IPR002137	active_site	Beta-lactamase, class-D active site
IPR002168	active_site	Lipase, GDXG, putative histidine active site
IPR002471	active_site	Peptidase S9, serine active site
IPR004164	active_site	Coenzyme A transferase active site
IPR006650	active_site	Adenosine/AMP deaminase active site
IPR008255	active_site	Pyridine nucleotide-disulphide oxidoreductase, class-II, active site
IPR008259	active_site	FMN-dependent alpha-hydroxy acid dehydrogenase, active site
IPR008261	active_site	Iodothyronine deiodinase, active site
IPR008263	active_site	Glycoside hydrolase, family 16, active site
IPR008265	active_site	Lipase, GDSL, active site
IPR008266	active_site	Tyrosine-protein kinase, active site
IPR008268	active_site	Peptidase S16, active site
IPR008270	active_site	Glycosyl hydrolases family 25, active site
IPR008271	active_site	Serine/threonine-protein kinase, active site
IPR008272	active_site	4-hydroxybenzoyl-CoA thioesterase, active site
IPR011767	active_site	Glutaredoxin active site
IPR012999	active_site	Pyridine nucleotide-disulphide oxidoreductase, class I, active site
IPR013808	active_site	Transglutaminase, active site
IPR016129	active_site	Peptidase family C14A, His active site
IPR016130	active_site	Protein-tyrosine phosphatase, active site
IPR017440	active_site	ATP-citrate lyase/succinyl-CoA ligase, active site
IPR017950	active_site	Urease active site
IPR018040	active_site	Pectinesterase, Tyr active site
IPR018053	active_site	Glycoside hydrolase, family 32, active site
IPR018057	active_site	Deoxyribonuclease I, active site
IPR018085	active_site	Uracil-DNA glycosylase, active site
IPR018088	active_site	Chalcone/stilbene synthase, active site
IPR018089	active_site	Orotidine 5'-phosphate decarboxylase, active site
IPR018114	active_site	Serine proteases, trypsin family, histidine active site
IPR018117	active_site	DNA methylase, C-5 cytosine-specific, active site
IPR018120	active_site	Glycoside hydrolase family 1, active site
IPR018129	active_site	Phosphoenolpyruvate carboxylase, Lys active site
IPR018148	active_site	Methylglyoxal synthase, active site
IPR018177	active_site	L-lactate dehydrogenase, active site
IPR018187	active_site	Asp/Glu racemase, active site 1
IPR018188	active_site	Ribonuclease T2, His active site 1
IPR018201	active_site	Beta-ketoacyl synthase, active site
IPR018202	active_site	Serine carboxypeptidase, serine active site
IPR018204	active_site	Tryptophan synthase, alpha chain, active site
IPR018208	active_site	Glycoside hydrolase family 11, active site 1
IPR018209	active_site	Pyruvate kinase, active site
IPR018215	active_site	ClpP, Ser active site
IPR018221	active_site	Glycoside hydrolase family 9, His active site
IPR018225	active_site	Transaldolase, active site
IPR018239	active_site	NAD-dependent DNA ligase, active site
IPR018274	active_site	PEP-utilising enzyme, active site
IPR018299	active_site	Alkaline phosphatase, active site
IPR018372	active_site	Chloramphenicol acetyltransferase, active site
IPR018508	active_site	3-dehydroquinate dehydratase, active site
IPR018510	active_site	Diaminopimelate epimerase, active site
IPR018521	active_site	DNA topoisomerase I, active site
IPR018524	active_site	DNA/RNA non-specific endonuclease, active site
IPR019756	active_site	Peptidase S26A, signal peptidase I, serine active site
IPR019757	active_site	Peptidase S26A, signal peptidase I, lysine active site
IPR019772	active_site	Ferrochelatase, active site
IPR019779	active_site	Galactose-1-phosphate uridyl transferase, class I His-active site
IPR019794	active_site	Peroxidase, active site
IPR019796	active_site	Glucose-6-phosphate dehydrogenase, active site
IPR019800	active_site	Glycoside hydrolase, family 3, active site
IPR019810	active_site	Citrate synthase active site
IPR019826	active_site	Carboxylesterase type B, active site
IPR020003	active_site	ATPase, alpha/beta subunit, nucleotide-binding domain, active site
IPR020548	active_site	Fructose-1,6-bisphosphatase, active site
IPR020610	active_site	Thiolase, active site
IPR020615	active_site	Thiolase, acyl-enzyme intermediate active site
IPR020625	active_site	Schiff base-forming aldolase, active site
IPR020827	active_site	Asparaginase/glutaminase, active site 1
IPR020830	active_site	Glyceraldehyde 3-phosphate dehydrogenase, active site
IPR020861	active_site	Triosephosphate isomerase, active site
IPR020878	active_site	Ribulose bisphosphate carboxylase, large chain, active site
IPR020940	active_site	Thymidylate synthase, active site
IPR022313	active_site	Phenylalanine/histidine ammonia-lyases, active site
IPR022398	active_site	Peptidase S8, subtilisin, His-active site
IPR022415	active_site	ATP:guanido phosphotransferase active site
IPR022469	active_site	6-pyruvoyl tetrahydropterin synthase, histidine active site
IPR022470	active_site	6-pyruvoyl tetrahydropterin synthase, cysteine active site
IPR023005	active_site	Nucleoside diphosphate kinase, active site
IPR023011	active_site	ATP synthase, F0 complex, subunit A, active site
IPR023013	active_site	N-acetyl-gamma-glutamyl-phosphate reductase, active site
IPR023232	active_site	Glycoside hydrolase, family 2, active site
IPR023313	active_site	Ubiquitin-conjugating enzyme, active site
IPR023406	active_site	DNA topoisomerase, type IA, active site
IPR023411	active_site	Ribonuclease A, active site
IPR023650	active_site	Beta-lactamase, class-A active site
IPR023827	active_site	Peptidase S8, subtilisin,  Asp-active site
IPR023828	active_site	Peptidase S8, subtilisin, Ser-active site
IPR024708	active_site	Catalase active site
IPR025660	active_site	Cysteine peptidase, histidine active site
IPR025661	active_site	Cysteine peptidase, asparagine active site
IPR027475	active_site	Asparaginase/glutaminase, active site 2
IPR028301	active_site	Serine proteases, V8 family, histidine active site
IPR029759	active_site	Glutathione peroxidase active site
IPR030390	active_site	RNA methyltransferase TrmA, active site
IPR030458	active_site	Glycosyl hydrolases family 31, active site
IPR030475	active_site	Ribonucleotide reductase small subunit, acitve site
IPR030656	active_site	Delta-aminolevulinic acid dehydratase, active site
IPR031158	active_site	Glycosyl hydrolases family 10, active site
IPR031337	active_site	KDPG/KHG aldolase, active site 1
IPR031338	active_site	KDPG/KHG aldolase, active site 2
IPR033112	active_site	Phospholipase A2, aspartic acid active site
IPR033113	active_site	Phospholipase A2, histidine active site
IPR033116	active_site	Serine proteases, trypsin family, serine active site
IPR033119	active_site	Glycoside hydrolase family 11, active site 2
IPR033124	active_site	Serine carboxypeptidases, histidine active site
IPR033126	active_site	Glycosyl hydrolases family 9, Asp/Glu active sites
IPR033127	active_site	Ubiquitin-activating enzyme E1, Cys active site
IPR033128	active_site	Adenylosuccinate synthase,  active site
IPR033129	active_site	Phosphoenolpyruvate carboxylase, His active site
IPR033130	active_site	Ribonuclease T2, His active site 2
IPR033131	active_site	Pectinesterase, Asp active site
IPR033134	active_site	Asp/Glu racemase, active site 2
IPR033135	active_site	ClpP, histidine active site
IPR033139	active_site	Peptidase family C14A, cysteine active site
IPR033140	active_site	Lipase, GDXG, putative serine active site
IPR033379	active_site	Histidine acid phosphatase active site
IPR033524	active_site	Leu/Phe/Val dehydrogenases active site
IPR033693	active_site	Pyroglutamyl peptidase I, Glu active site
IPR033694	active_site	Pyroglutamyl peptidase I, Cys active site
IPR000048	binding_site	IQ motif, EF-hand binding site
IPR000222	binding_site	PPM-type phosphatase, divalent cation binding
IPR000634	binding_site	Serine/threonine dehydratase, pyridoxal-phosphate-binding site
IPR001216	binding_site	Cysteine synthase/cystathionine beta-synthase, pyridoxal-phosphate attachment site
IPR001431	binding_site	Peptidase M16, zinc-binding site
IPR001505	binding_site	Copper centre Cu(A)
IPR001882	binding_site	Biotin-binding site
IPR001917	binding_site	Aminotransferase, class-II, pyridoxal-phosphate binding site
IPR002226	binding_site	Catalase haem-binding site
IPR002355	binding_site	Multicopper oxidase, copper-binding site
IPR003016	binding_site	2-oxo acid dehydrogenase, lipoyl-binding site
IPR003952	binding_site	Fumarate reductase/succinate dehydrogenase, FAD-binding site
IPR004035	binding_site	Endonuclease III, iron-sulphur binding site
